inventory_id,organization_id,blood_group,component,units_available,last_updated,data_source
INV-ORG-005-A-,ORG-005,A-,PRBC,13,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-005-B+,ORG-005,B+,PRBC,6,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-005-B-,ORG-005,B-,PRBC,6,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-005-AB+,ORG-005,AB+,PRBC,9,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-005-AB-,ORG-005,AB-,PRBC,12,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-005-O+,ORG-005,O+,PRBC,11,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-005-O-,ORG-005,O-,PRBC,14,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-006-A+,ORG-006,A+,PRBC,14,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-006-A-,ORG-006,A-,PRBC,3,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-006-B+,ORG-006,B+,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-006-B-,ORG-006,B-,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-006-AB+,ORG-006,AB+,PRBC,2,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-006-AB-,ORG-006,AB-,PRBC,10,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-006-O+,ORG-006,O+,PRBC,0,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-006-O-,ORG-006,O-,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-007-A+,ORG-007,A+,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-007-A-,ORG-007,A-,PRBC,0,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-007-B+,ORG-007,B+,PRBC,2,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-007-B-,ORG-007,B-,PRBC,1,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-007-AB+,ORG-007,AB+,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-007-AB-,ORG-007,AB-,PRBC,2,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-007-O+,ORG-007,O+,PRBC,1,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-007-O-,ORG-007,O-,PRBC,10,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-008-A+,ORG-008,A+,PRBC,2,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-008-A-,ORG-008,A-,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-008-B+,ORG-008,B+,PRBC,8,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-008-B-,ORG-008,B-,PRBC,15,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-008-AB+,ORG-008,AB+,PRBC,6,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-008-AB-,ORG-008,AB-,PRBC,4,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-008-O+,ORG-008,O+,PRBC,15,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-008-O-,ORG-008,O-,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-009-A+,ORG-009,A+,PRBC,15,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-009-A-,ORG-009,A-,PRBC,13,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-009-B+,ORG-009,B+,PRBC,6,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-009-B-,ORG-009,B-,PRBC,3,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-009-AB+,ORG-009,AB+,PRBC,3,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-009-AB-,ORG-009,AB-,PRBC,13,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-009-O+,ORG-009,O+,PRBC,11,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-009-O-,ORG-009,O-,PRBC,13,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-010-A+,ORG-010,A+,PRBC,13,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-010-A-,ORG-010,A-,PRBC,14,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-010-B+,ORG-010,B+,PRBC,1,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-010-B-,ORG-010,B-,PRBC,3,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-010-AB+,ORG-010,AB+,PRBC,1,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-010-AB-,ORG-010,AB-,PRBC,12,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-010-O+,ORG-010,O+,PRBC,10,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-010-O-,ORG-010,O-,PRBC,3,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-011-A+,ORG-011,A+,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-011-A-,ORG-011,A-,PRBC,6,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-011-B+,ORG-011,B+,PRBC,6,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-011-B-,ORG-011,B-,PRBC,14,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-011-AB+,ORG-011,AB+,PRBC,4,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-011-AB-,ORG-011,AB-,PRBC,13,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-011-O+,ORG-011,O+,PRBC,5,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-011-O-,ORG-011,O-,PRBC,8,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-012-A+,ORG-012,A+,PRBC,14,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-012-A-,ORG-012,A-,PRBC,7,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-012-B+,ORG-012,B+,PRBC,2,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-012-B-,ORG-012,B-,PRBC,14,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-012-AB+,ORG-012,AB+,PRBC,3,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-012-AB-,ORG-012,AB-,PRBC,1,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-012-O+,ORG-012,O+,PRBC,0,2026-09-02 15:56:15.511450,synthetic_demo
INV-ORG-012-O-,ORG-012,O-,PRBC,2,2026-09-02 15:56:15.511450,synthetic_demo
